epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
76,322.634,1.21831,1.3246,1.22176,0.91976,0.81897,0.91903,0.57418,1.45061,1.29119,1.37495,0.000234068,0.000234068,0.000234068
77,327.14,1.18595,1.34239,1.20085,0.91976,0.81897,0.91903,0.57418,1.45061,1.29119,1.37495,0.000225068,0.000225068,0.000225068
78,331.448,1.2853,1.39871,1.20645,0.91976,0.81897,0.91903,0.57418,1.45061,1.29119,1.37495,0.000216069,0.000216069,0.000216069
79,335.937,1.36615,1.28512,1.24327,0.93492,0.81178,0.92228,0.55201,1.467,1.2553,1.37279,0.00020707,0.00020707,0.00020707
80,340.141,1.31867,1.28459,1.22829,0.93492,0.81178,0.92228,0.55201,1.467,1.2553,1.37279,0.000198071,0.000198071,0.000198071
81,344.718,1.29801,1.32445,1.22927,0.93048,0.83798,0.91505,0.55106,1.48931,1.23793,1.37606,0.000189072,0.000189072,0.000189072
82,349.065,1.21563,1.35011,1.25051,0.93048,0.83798,0.91505,0.55106,1.48931,1.23793,1.37606,0.000180073,0.000180073,0.000180073
83,353.326,1.22975,1.41977,1.23915,0.88284,0.86612,0.91577,0.56267,1.46091,1.21479,1.36525,0.000171074,0.000171074,0.000171074
84,357.655,1.34885,1.23956,1.22944,0.88284,0.86612,0.91577,0.56267,1.46091,1.21479,1.36525,0.000162075,0.000162075,0.000162075
85,361.917,1.16568,1.29611,1.20421,0.88284,0.86612,0.91577,0.56267,1.46091,1.21479,1.36525,0.000153076,0.000153076,0.000153076
86,366.292,1.2144,1.25237,1.19001,0.88554,0.865,0.92261,0.57187,1.45433,1.21213,1.36544,0.000144077,0.000144077,0.000144077
87,370.592,1.28173,1.28428,1.18676,0.88554,0.865,0.92261,0.57187,1.45433,1.21213,1.36544,0.000135077,0.000135077,0.000135077
88,374.921,1.2142,1.17908,1.21679,0.88807,0.89276,0.93233,0.57725,1.44762,1.22918,1.36779,0.000126078,0.000126078,0.000126078
89,379.384,1.28422,1.30206,1.26492,0.88807,0.89276,0.93233,0.57725,1.44762,1.22918,1.36779,0.000117079,0.000117079,0.000117079
90,384.01,1.38776,1.33705,1.19202,0.93821,0.84512,0.92919,0.58883,1.43941,1.21837,1.36927,0.00010808,0.00010808,0.00010808
91,388.097,1.28455,1.42681,1.2276,0.93821,0.84512,0.92919,0.58883,1.43941,1.21837,1.36927,9.9081e-05,9.9081e-05,9.9081e-05
92,392.324,1.18894,1.39317,1.17461,0.93821,0.84512,0.92919,0.58883,1.43941,1.21837,1.36927,9.00819e-05,9.00819e-05,9.00819e-05
93,396.55,1.31831,1.44396,1.21887,0.94592,0.84481,0.93332,0.59272,1.43209,1.20386,1.36979,8.10828e-05,8.10828e-05,8.10828e-05
94,400.738,1.18867,1.43869,1.2579,0.94592,0.84481,0.93332,0.59272,1.43209,1.20386,1.36979,7.20837e-05,7.20837e-05,7.20837e-05
95,405.032,1.19334,1.37108,1.20164,0.93281,0.85795,0.92843,0.58698,1.42752,1.20873,1.36997,6.30846e-05,6.30846e-05,6.30846e-05
96,409.143,1.2671,1.38212,1.25305,0.93281,0.85795,0.92843,0.58698,1.42752,1.20873,1.36997,5.40855e-05,5.40855e-05,5.40855e-05
97,413.312,1.15318,1.32789,1.21455,0.92597,0.8639,0.93011,0.5857,1.42706,1.20788,1.37131,4.50864e-05,4.50864e-05,4.50864e-05
98,417.471,1.11299,1.21799,1.19679,0.92597,0.8639,0.93011,0.5857,1.42706,1.20788,1.37131,3.60873e-05,3.60873e-05,3.60873e-05
99,421.7,1.16775,1.32765,1.21714,0.92597,0.8639,0.93011,0.5857,1.42706,1.20788,1.37131,2.70882e-05,2.70882e-05,2.70882e-05
100,426.601,1.16474,1.23909,1.21102,0.92976,0.8604,0.93021,0.58693,1.42815,1.20722,1.37323,1.80891e-05,1.80891e-05,1.80891e-05
